年度标识	省份名称	职工平均货币工资合计
2008	山西省	25489.0000
2007	山西省	21315.0000
2006	山西省	18106.0000
2005	山西省	15645.0000
2004	山西省	12943.0000
2003	山西省	10729.0000
2002	山西省	9357.0000
2001	山西省	8122.0000
2000	山西省	6918.0000
1999	山西省	6065.0000
1998	山西省	5641.0000
1997	山西省	5320.0000
1996	山西省	5183.0000
1995	山西省	4721.0000
2018	中国	82413.0000
2017	中国	74318.0000
2016	中国	67569.0000
2015	中国	62029.0000
2014	中国	56360.0000
2013	中国	51483.0000
2012	中国	46769.0000
2011	中国	41799.0000
2010	中国	36539.0000
2009	中国	32244.0000
2008	中国	28898.0000
2007	中国	24721.0000
2006	中国	20856.0000
2005	中国	18200.0000
2004	中国	15920.0000
2003	中国	13969.0000
2002	中国	12373.0000
2001	中国	10834.0000
2000	中国	9333.0000
1999	中国	8319.0000
1998	中国	7446.0000
1997	中国	6444.0000
1996	中国	5980.0000
1995	中国	5348.0000
2018	内蒙古自治区	73835.0000
2017	内蒙古自治区	66679.0000
2016	内蒙古自治区	61067.0000
2015	内蒙古自治区	57135.0000
2014	内蒙古自治区	53748.0000
2013	内蒙古自治区	50723.0000
2012	内蒙古自治区	46557.0000
2011	内蒙古自治区	41118.0000
2010	内蒙古自治区	35211.0000
2009	内蒙古自治区	30486.0000
2008	内蒙古自治区	25949.0000
2007	内蒙古自治区	21794.0000
2006	内蒙古自治区	18382.0000
2005	内蒙古自治区	15985.0000
2004	内蒙古自治区	13324.0000
2003	内蒙古自治区	11279.0000
2002	内蒙古自治区	9683.0000
2001	内蒙古自治区	8250.0000
2000	内蒙古自治区	6974.0000
1999	内蒙古自治区	6347.0000
1998	内蒙古自治区	5792.0000
1997	内蒙古自治区	5124.0000
1996	内蒙古自治区	4716.0000
1995	内蒙古自治区	4134.0000
2018	辽宁省	67324.0000
2017	辽宁省	61153.0000
2016	辽宁省	56015.0000
2015	辽宁省	52332.0000
2014	辽宁省	48190.0000
2013	辽宁省	45505.0000
2012	辽宁省	41858.0000
2011	辽宁省	38154.0000
2010	辽宁省	34437.0000
2009	辽宁省	30523.0000
2008	辽宁省	27179.0000
2007	辽宁省	22882.0000
2006	辽宁省	19365.0000
2005	辽宁省	17331.0000
2004	辽宁省	14921.0000
2003	辽宁省	13008.0000
2002	辽宁省	11659.0000
2001	辽宁省	10145.0000
2000	辽宁省	8811.0000
1999	辽宁省	7895.0000
1998	辽宁省	7161.0000
1997	辽宁省	5591.0000
1996	辽宁省	5269.0000
1995	辽宁省	4911.0000
2018	吉林省	68533.0000
2017	吉林省	61451.0000
2016	吉林省	56098.0000
2015	吉林省	51558.0000
2014	吉林省	46516.0000
2013	吉林省	42846.0000
2012	吉林省	38407.0000
2011	吉林省	33610.0000
2010	吉林省	29003.0000
2009	吉林省	25943.0000
2008	吉林省	23294.0000
2007	吉林省	20371.0000
2006	吉林省	16393.0000
2005	吉林省	14409.0000
2004	吉林省	12431.0000
2003	吉林省	11081.0000
2002	吉林省	9990.0000
2001	吉林省	8771.0000
2000	吉林省	7924.0000
1999	吉林省	7158.0000
1998	吉林省	6551.0000
1997	吉林省	5664.0000
1996	吉林省	5370.0000
1995	吉林省	4430.0000
2018	黑龙江省	60780.0000
2017	黑龙江省	56067.0000
2016	黑龙江省	52435.0000
2015	黑龙江省	48881.0000
2014	黑龙江省	44036.0000
2013	黑龙江省	40794.0000
2012	黑龙江省	36406.0000
2011	黑龙江省	31302.0000
2010	黑龙江省	27735.0000
2009	黑龙江省	24805.0000
2008	黑龙江省	21764.0000
2007	黑龙江省	18481.0000
2006	黑龙江省	15894.0000
2005	黑龙江省	14458.0000
2004	黑龙江省	12557.0000
2003	黑龙江省	11038.0000
2002	黑龙江省	9926.0000
2001	黑龙江省	8910.0000
2000	黑龙江省	7835.0000
1999	黑龙江省	7094.0000
1998	黑龙江省	6238.0000
1997	黑龙江省	4889.0000
1996	黑龙江省	4564.0000
1995	黑龙江省	4145.0000
2018	上海市	140400.0000
2017	上海市	129795.0000
2016	上海市	119935.0000
2015	上海市	109174.0000
2014	上海市	100251.0000
2013	上海市	90908.0000
2012	上海市	78673.0000
2011	上海市	75591.0000
2010	上海市	66115.0000
2009	上海市	58336.0000
2008	上海市	52122.0000
2007	上海市	44976.0000
2006	上海市	37585.0000
2005	上海市	34345.0000
2004	上海市	30085.0000
2003	上海市	27304.0000
2002	上海市	23959.0000
2001	上海市	21781.0000
2000	上海市	18531.0000
1999	上海市	16641.0000
1998	上海市	13580.0000
1997	上海市	11425.0000
1996	上海市	10663.0000
1995	上海市	9279.0000
2018	江苏省	84688.0000
2017	江苏省	78267.0000
2016	江苏省	71574.0000
2015	江苏省	66196.0000
2014	江苏省	60867.0000
2013	江苏省	57177.0000
2012	江苏省	50639.0000
2011	江苏省	45487.0000
2010	江苏省	39772.0000
2009	江苏省	35217.0000
2008	江苏省	31297.0000
2007	江苏省	27212.0000
2006	江苏省	23657.0000
2005	江苏省	20957.0000
2004	江苏省	18202.0000
2003	江苏省	15712.0000
2002	江苏省	13509.0000
2001	江苏省	11842.0000
2000	江苏省	10299.0000
1999	江苏省	9171.0000
1998	江苏省	8256.0000
1997	江苏省	7108.0000
1996	江苏省	6603.0000
1995	江苏省	5943.0000
2018	浙江省	88883.0000
2017	浙江省	80750.0000
2016	浙江省	73326.0000
2015	浙江省	66668.0000
2014	浙江省	61572.0000
2013	浙江省	56571.0000
2012	浙江省	50197.0000
2011	浙江省	45162.0000
2010	浙江省	40640.0000
2009	浙江省	36553.0000
2008	浙江省	33622.0000
2007	浙江省	30818.0000
2006	浙江省	27570.0000
2005	浙江省	25896.0000
2004	浙江省	23506.0000
2003	浙江省	21367.0000
2002	浙江省	18785.0000
2001	浙江省	16385.0000
2000	浙江省	13076.0000
1999	浙江省	11201.0000
1998	浙江省	9759.0000
1997	浙江省	8386.0000
1996	浙江省	7413.0000
1995	浙江省	6619.0000
2018	安徽省	74378.0000
2017	安徽省	65150.0000
2016	安徽省	59102.0000
2015	安徽省	55139.0000
2014	安徽省	50894.0000
2013	安徽省	47806.0000
2012	安徽省	44601.0000
2011	安徽省	39352.0000
2010	安徽省	33341.0000
2009	安徽省	28723.0000
2008	安徽省	25703.0000
2007	安徽省	21699.0000
2006	安徽省	17610.0000
2005	安徽省	15334.0000
2004	安徽省	12928.0000
2003	安徽省	10581.0000
2002	安徽省	9296.0000
2001	安徽省	7908.0000
2000	安徽省	6989.0000
1999	安徽省	6516.0000
1998	安徽省	6117.0000
1997	安徽省	5492.0000
1996	安徽省	5175.0000
1995	安徽省	4609.0000
2018	福建省	74316.0000
2017	福建省	67420.0000
2016	福建省	61973.0000
2015	福建省	57628.0000
2014	福建省	53426.0000
2013	福建省	48538.0000
2012	福建省	44525.0000
2011	福建省	38588.0000
2010	福建省	32340.0000
2009	福建省	28366.0000
2008	福建省	25555.0000
2007	福建省	22277.0000
2006	福建省	19424.0000
2005	福建省	17146.0000
2004	福建省	15603.0000
2003	福建省	14310.0000
2002	福建省	13306.0000
2001	福建省	12013.0000
2000	福建省	10584.0000
1999	福建省	9490.0000
1998	福建省	8531.0000
1997	福建省	7559.0000
1996	福建省	6684.0000
1995	福建省	5857.0000
2018	江西省	68573.0000
2017	江西省	61429.0000
2016	江西省	56136.0000
2015	江西省	50932.0000
2014	江西省	46218.0000
2013	江西省	42473.0000
2012	江西省	38512.0000
2011	江西省	33239.0000
2010	江西省	28363.0000
2009	江西省	24165.0000
2008	江西省	20597.0000
2007	江西省	18144.0000
2006	江西省	15370.0000
2005	江西省	13688.0000
2004	江西省	11860.0000
2003	江西省	10521.0000
2002	江西省	9262.0000
2001	江西省	8026.0000
2000	江西省	7014.0000
1999	江西省	6749.0000
1998	江西省	5384.0000
1997	江西省	5089.0000
1996	江西省	4852.0000
1995	江西省	4211.0000
2018	山东省	73593.0000
2017	山东省	68081.0000
2016	山东省	62539.0000
2015	山东省	57270.0000
2014	山东省	51825.0000
2013	山东省	46998.0000
2012	山东省	41904.0000
2011	山东省	37618.0000
2010	山东省	33321.0000
2009	山东省	29398.0000
2008	山东省	26234.0000
2007	山东省	22734.0000
2006	山东省	19135.0000
2005	山东省	16614.0000
2004	山东省	14332.0000
2003	山东省	12567.0000
2002	山东省	11374.0000
2001	山东省	10008.0000
2000	山东省	8772.0000
1999	山东省	7656.0000
1998	山东省	6854.0000
1997	山东省	6241.0000
1996	山东省	5809.0000
1995	山东省	5145.0000
2018	河南省	63174.0000
2017	河南省	55495.0000
2016	河南省	49505.0000
2015	河南省	45403.0000
2014	河南省	42179.0000
2013	河南省	38301.0000
2012	河南省	37338.0000
2011	河南省	33634.0000
2010	河南省	29819.0000
2009	河南省	26906.0000
2008	河南省	24438.0000
2007	河南省	20639.0000
2006	河南省	16791.0000
2005	河南省	14282.0000
2004	河南省	12114.0000
2003	河南省	10749.0000
2002	河南省	9174.0000
2001	河南省	7916.0000
2000	河南省	6930.0000
1999	河南省	6194.0000
1998	河南省	5781.0000
1997	河南省	5225.0000
1996	河南省	4924.0000
1995	河南省	4344.0000
2018	湖北省	73777.0000
2017	湖北省	65912.0000
2016	湖北省	59831.0000
2015	湖北省	54367.0000
2014	湖北省	49838.0000
2013	湖北省	43899.0000
2012	湖北省	39846.0000
2011	湖北省	36128.0000
2010	湖北省	31811.0000
2009	湖北省	26547.0000
2008	湖北省	22384.0000
2007	湖北省	19548.0000
2006	湖北省	15779.0000
2005	湖北省	14419.0000
2004	湖北省	11855.0000
2003	湖北省	10692.0000
2002	湖北省	9611.0000
2001	湖北省	8619.0000
2000	湖北省	7565.0000
1999	湖北省	6991.0000
1998	湖北省	6436.0000
1997	湖北省	5401.0000
1996	湖北省	5099.0000
1995	湖北省	4685.0000
2018	湖南省	70221.0000
2017	湖南省	63690.0000
2016	湖南省	58241.0000
2015	湖南省	52357.0000
2014	湖南省	47117.0000
2013	湖南省	42726.0000
2012	湖南省	38971.0000
2011	湖南省	34586.0000
2010	湖南省	29670.0000
2009	湖南省	26534.0000
2008	湖南省	24146.0000
2007	湖南省	21060.0000
2006	湖南省	17400.0000
2005	湖南省	15659.0000
2004	湖南省	13928.0000
2003	湖南省	12221.0000
2002	湖南省	10967.0000
2001	湖南省	9623.0000
2000	湖南省	8128.0000
1999	湖南省	7269.0000
1998	湖南省	6558.0000
1997	湖南省	5326.0000
1996	湖南省	5100.0000
1995	湖南省	4797.0000
2018	广东省	88636.0000
2017	广东省	79183.0000
2016	广东省	72326.0000
2015	广东省	65788.0000
2014	广东省	59481.0000
2013	广东省	53318.0000
2012	广东省	50278.0000
2011	广东省	45060.0000
2010	广东省	40432.0000
2009	广东省	36469.0000
2008	广东省	33282.0000
2007	广东省	29658.0000
2006	广东省	26400.0000
2005	广东省	23959.0000
2004	广东省	22116.0000
2003	广东省	19986.0000
2002	广东省	17814.0000
2001	广东省	15682.0000
2000	广东省	13823.0000
1999	广东省	12245.0000
1998	广东省	11032.0000
1997	广东省	9698.0000
1996	广东省	9127.0000
1995	广东省	8250.0000
2018	广西壮族自治区	70606.0000
2017	广西壮族自治区	63821.0000
2016	广西壮族自治区	57878.0000
2015	广西壮族自治区	52982.0000
2014	广西壮族自治区	45424.0000
2013	广西壮族自治区	41391.0000
2012	广西壮族自治区	36386.0000
2011	广西壮族自治区	33032.0000
2010	广西壮族自治区	30673.0000
2009	广西壮族自治区	27322.0000
2008	广西壮族自治区	24798.0000
2007	广西壮族自治区	21251.0000
2006	广西壮族自治区	17571.0000
2005	广西壮族自治区	15461.0000
2004	广西壮族自治区	13579.0000
2003	广西壮族自治区	11953.0000
2002	广西壮族自治区	10774.0000
2001	广西壮族自治区	9075.0000
2000	广西壮族自治区	7651.0000
1999	广西壮族自治区	6776.0000
1998	广西壮族自治区	6208.0000
1997	广西壮族自治区	5542.0000
1996	广西壮族自治区	5397.0000
1995	广西壮族自治区	5105.0000
2018	海南省	75885.0000
2017	海南省	67727.0000
2016	海南省	61663.0000
2015	海南省	57600.0000
2014	海南省	49882.0000
2013	海南省	44971.0000
2012	海南省	39485.0000
2011	海南省	36244.0000
2010	海南省	30775.0000
2009	海南省	24790.0000
2008	海南省	21767.0000
2007	海南省	19220.0000
2006	海南省	15843.0000
2005	海南省	14417.0000
2004	海南省	12652.0000
2003	海南省	10397.0000
2002	海南省	9480.0000
2001	海南省	8321.0000
2000	海南省	7408.0000
1999	海南省	6865.0000
1998	海南省	6248.0000
1997	海南省	5664.0000
1996	海南省	5476.0000
1995	海南省	5340.0000
2018	重庆市	78928.0000
2017	重庆市	70889.0000
2016	重庆市	65545.0000
2015	重庆市	60543.0000
2014	重庆市	55588.0000
2013	重庆市	50006.0000
2012	重庆市	44498.0000
2011	重庆市	39430.0000
2010	重庆市	34727.0000
2009	重庆市	30499.0000
2008	重庆市	26640.0000
2007	重庆市	22965.0000
2006	重庆市	19172.0000
2005	重庆市	16630.0000
2004	重庆市	14357.0000
2003	重庆市	12425.0000
2002	重庆市	10960.0000
2001	重庆市	9523.0000
2000	重庆市	8020.0000
1999	重庆市	7182.0000
1998	重庆市	6433.0000
1997	重庆市	5502.0000
2018	四川省	77686.0000
2017	四川省	69419.0000
2016	四川省	63926.0000
2015	四川省	58915.0000
2014	四川省	52555.0000
2013	四川省	47965.0000
2012	四川省	42339.0000
2011	四川省	37330.0000
2010	四川省	32567.0000
2009	四川省	28149.0000
2008	四川省	24725.0000
2007	四川省	21081.0000
2006	四川省	17612.0000
2005	四川省	15826.0000
2004	四川省	14063.0000
2003	四川省	12441.0000
2002	四川省	11183.0000
2001	四川省	9934.0000
2000	四川省	8323.0000
1999	四川省	7249.0000
1998	四川省	6577.0000
1997	四川省	5626.0000
1996	四川省	5156.0000
1995	四川省	4645.0000
2018	贵州省	78316.0000
2017	贵州省	71795.0000
2016	贵州省	66279.0000
2015	贵州省	59701.0000
2014	贵州省	52772.0000
2013	贵州省	47364.0000
2012	贵州省	41156.0000
2011	贵州省	36102.0000
2010	贵州省	30433.0000
2009	贵州省	27437.0000
2008	贵州省	23979.0000
2007	贵州省	20254.0000
2006	贵州省	16481.0000
2005	贵州省	14344.0000
2004	贵州省	12431.0000
2003	贵州省	11037.0000
2002	贵州省	9810.0000
2001	贵州省	8991.0000
2000	贵州省	7468.0000
1999	贵州省	6595.0000
1998	贵州省	5775.0000
1997	贵州省	5206.0000
1996	贵州省	4917.0000
1995	贵州省	4475.0000
2018	云南省	75701.0000
2017	云南省	69106.0000
2016	云南省	60450.0000
2015	云南省	52564.0000
2014	云南省	46101.0000
2013	云南省	42447.0000
2012	云南省	37629.0000
2011	云南省	34004.0000
2010	云南省	29195.0000
2009	云南省	26163.0000
2008	云南省	23305.0000
2007	云南省	19912.0000
2006	云南省	18262.0000
2005	云南省	16140.0000
2004	云南省	14581.0000
2003	云南省	12870.0000
2002	云南省	11987.0000
2001	云南省	10537.0000
2000	云南省	9231.0000
1999	云南省	8276.0000
1998	云南省	7667.0000
1997	云南省	7037.0000
1996	云南省	6231.0000
1995	云南省	5149.0000
2018	西藏自治区	116015.0000
2017	西藏自治区	108817.0000
2016	西藏自治区	103232.0000
2015	西藏自治区	97849.0000
2014	西藏自治区	61235.0000
2013	西藏自治区	57773.0000
2012	西藏自治区	51705.0000
2011	西藏自治区	49464.0000
2010	西藏自治区	49898.0000
2009	西藏自治区	45347.0000
2008	西藏自治区	44055.0000
2007	西藏自治区	42820.0000
2006	西藏自治区	29119.0000
2005	西藏自治区	28950.0000
2004	西藏自治区	30873.0000
2003	西藏自治区	26931.0000
2002	西藏自治区	24766.0000
2001	西藏自治区	19144.0000
2000	西藏自治区	14976.0000
1999	西藏自治区	12962.0000
1998	西藏自治区	10987.0000
1997	西藏自治区	10098.0000
1996	西藏自治区	11087.0000
1995	西藏自治区	7382.0000
2018	陕西省	71983.0000
2017	陕西省	65181.0000
2016	陕西省	59637.0000
2015	陕西省	54994.0000
2014	陕西省	50535.0000
2013	陕西省	47446.0000
2012	陕西省	43073.0000
2011	陕西省	38143.0000
2010	陕西省	33384.0000
2009	陕西省	29566.0000
2008	陕西省	25478.0000
2007	陕西省	20977.0000
2006	陕西省	16646.0000
2005	陕西省	14796.0000
2004	陕西省	13024.0000
2003	陕西省	11461.0000
2002	陕西省	10351.0000
2001	陕西省	9120.0000
2000	陕西省	7804.0000
1999	陕西省	6931.0000
1998	陕西省	6029.0000
1997	陕西省	5184.0000
1996	陕西省	4882.0000
1995	陕西省	4396.0000
2018	甘肃省	70695.0000
2017	甘肃省	63374.0000
2016	甘肃省	57575.0000
2015	甘肃省	52942.0000
2014	甘肃省	46960.0000
2013	甘肃省	42833.0000
2012	甘肃省	37679.0000
2011	甘肃省	32092.0000
2010	甘肃省	29096.0000
2009	甘肃省	26743.0000
2008	甘肃省	23632.0000
2007	甘肃省	20657.0000
2006	甘肃省	16991.0000
2005	甘肃省	14939.0000
2004	甘肃省	13623.0000
2003	甘肃省	12307.0000
2002	甘肃省	11147.0000
2001	甘肃省	9949.0000
2000	甘肃省	8560.0000
1999	甘肃省	7427.0000
1998	甘肃省	6809.0000
1997	甘肃省	6182.0000
1996	甘肃省	5882.0000
1995	甘肃省	5493.0000
2018	青海省	85379.0000
2017	青海省	75701.0000
2016	青海省	66589.0000
2015	青海省	61090.0000
2014	青海省	57084.0000
2013	青海省	51393.0000
2012	青海省	46483.0000
2011	青海省	41370.0000
2010	青海省	36121.0000
2009	青海省	32481.0000
2008	青海省	30101.0000
2007	青海省	25318.0000
2006	青海省	21981.0000
2005	青海省	19084.0000
2004	青海省	17229.0000
2003	青海省	15356.0000
2002	青海省	14472.0000
2001	青海省	12906.0000
2000	青海省	10050.0000
1999	青海省	9081.0000
1998	青海省	8011.0000
1997	青海省	7091.0000
1996	青海省	6513.0000
1995	青海省	5753.0000
2018	宁夏回族自治区	78384.0000
2017	宁夏回族自治区	70298.0000
2016	宁夏回族自治区	65570.0000
2015	宁夏回族自治区	60380.0000
2014	宁夏回族自治区	54858.0000
2013	宁夏回族自治区	50476.0000
2012	宁夏回族自治区	47436.0000
2011	宁夏回族自治区	42703.0000
2010	宁夏回族自治区	37166.0000
2009	宁夏回族自治区	32916.0000
2008	宁夏回族自治区	30050.0000
2007	宁夏回族自治区	25723.0000
2006	宁夏回族自治区	20900.0000
2005	宁夏回族自治区	17211.0000
2004	宁夏回族自治区	14620.0000
2003	宁夏回族自治区	12981.0000
2002	宁夏回族自治区	11640.0000
2001	宁夏回族自治区	10442.0000
2000	宁夏回族自治区	8590.0000
1999	宁夏回族自治区	7392.0000
1998	宁夏回族自治区	6822.0000
1997	宁夏回族自治区	6073.0000
1996	宁夏回族自治区	5635.0000
1995	宁夏回族自治区	5079.0000
2018	新疆维吾尔自治区	75457.0000
2017	新疆维吾尔自治区	67932.0000
2016	新疆维吾尔自治区	63739.0000
2015	新疆维吾尔自治区	60117.0000
2014	新疆维吾尔自治区	53471.0000
2013	新疆维吾尔自治区	49064.0000
2012	新疆维吾尔自治区	44576.0000
2011	新疆维吾尔自治区	38238.0000
2010	新疆维吾尔自治区	32003.0000
2009	新疆维吾尔自治区	27617.0000
2008	新疆维吾尔自治区	24686.0000
2007	新疆维吾尔自治区	21249.0000
2006	新疆维吾尔自治区	17704.0000
2005	新疆维吾尔自治区	15558.0000
2004	新疆维吾尔自治区	14484.0000
2003	新疆维吾尔自治区	13255.0000
2002	新疆维吾尔自治区	11605.0000
2001	新疆维吾尔自治区	10278.0000
2000	新疆维吾尔自治区	8717.0000
1999	新疆维吾尔自治区	7611.0000
1998	新疆维吾尔自治区	7121.0000
1997	新疆维吾尔自治区	6644.0000
1996	新疆维吾尔自治区	5987.0000
1995	新疆维吾尔自治区	5348.0000
